context	label	split
Clinical reports of energetic stress in HCM hearts <CITED HERE> prompted us to measure mitochondrial respiration, mitochondrial copy number, ROS emission/scavenging, and calcium handling in these 2 HCM mouse models.	method	train
Previous empirical analyses of subnational consumer subsidies found that a majority of solar adoption was attributable to subsidies (e.g., Hughes and Podolefsky, 2015; Burr, 2016; De Groote and Verboven, 2016; <CITED HERE>).	background	train
The third group of proteins might be necessary to cope with the alterations in electron Xow such as NdhD2, OCP, and the thioredoxin-like AhpC (<CITED HERE>; Kobayashi et al. 2004; Wilson et al. 2006).	background	train
These results are consistent with field observations of plasma electrolyte concentrations and thermal behaviour of the lizards Sauromalus hispidus and Uromastix acanthinurus (<CITED HERE>; Smits 1984) and laboratory observations of S. hispidus (Smits et al. 1986).	result	train
4 lead to a decrease in SC absorption in mice <CITED HERE>.	background	train
found that SNPs of MMP-1 were linked to an increased risk of colorectal cancer <CITED HERE>.	background	train
"Matricellular proteins are thought to contribute to the organization and biomechanical stability of
the ECM by modulating cell-matrix interactions and cell signaling rather than by serving directly as structural components (<CITED HERE>)."	background	train
The beneficial role of PBM as supportive modality in the management of postmastectomy lymphedema is well established based on strong evidence <CITED HERE> and recent data suggest its beneficial role concerning radiation-induced oral mucositis [17–20].	background	val
The mitochondrial transmembrane potential was measured using flow cytometry of cells stained with 5,5′,6,6′- tetrachloro-1,1′,3,3′-tetraethylbenzimidazolcarbocyanineiodide (JC-1) (Cossarizza et al., 1993) as described previous<CITED HERE>2006).	method	train
The language models were characterN-grams trained using texts from the Corpus of Spontaneous Japanese (CSJ) <CITED HERE>, which contains 12.	method	train
Cisplatin has dramatically been used as the first line treatment for several types of solid tumors, such as breast, head and neck, ovarian, and lung cancers <CITED HERE>.	background	train
In recent years, a similar genotype shift has been observed in South Korea, northern Vietnam, China, Taiwan and Thailand <CITED HERE>.	background	train
However, localization of additional γ-tubulin that surrounds the centrosomes only during mitosis does require microtubules <CITED HERE>.	background	val
…is consistent with the currently-held notion that dsRNA targets the gene-specific destruction of mRNA in a wide variety of eukaryotic cells (<CITED HERE>; Tabara et al., 1998; Tabara et al., 1999; Sanchez-Alvorado and Newmark, 1999; Grishok et al., 2000; Boscher and Labouesse, 2000;…	background	val
Spermatogonial transplantation was performed and recipients were prepared as described previously <CITED HERE>.	method	train
More examples of contradictory results have been observed in bovines; some reports <CITED HERE> indicated a significant decrease in blastocyst	result	train
Increasing the number of EPIYA motifs leads to an increase in the level of CagA phosphorylation (<CITED HERE>; Argent et al., 2004, 2008a; Zhang et al., 2005; Naito et al., 2006).	background	train
, 2008), and Srebp1/2 are known to interact with Hmgb1/2; their activity has been reported to be enhanced by Hmgb1 <CITED HERE>.	background	train
This is in keeping with the report of Blickstein et al,<CITED HERE> which showed that the higher the combined twin birthweight the less likely it was to deliver discordant pairs.	result	train
Coinciding with our results, it has been previously reported that i.p. injections of β-glucan reduced IFN-γ production induced by concanavalin A in mice<CITED HERE>03).	result	train
The occurrence of soft tissue tumors in such field of low-dose irradiation (LDRI) has also been emphasized by other authors <CITED HERE> reporting the development of tumors of the skull bone and neck after exposure to full-mouth diagnostic dental X-ray film [3] and to irradiation for enlarged tonsils [54] and thymus [55].	result	val
In this chapter we will present the formalism for these different kinds of beamformers in their scalar form, then develop the formalism for a vector beamformer (Sekihara et al., 2001, <CITED HERE>) and an eigenstate-projected vector beamformer (Sekihara et al., 2001).	background	train
, 2010), and retromer tubule formation is reported to be maximal at the time of Rab5-to-Rab7 conversion <CITED HERE>.	background	train
A serotype-shift occurred over the years with a predominance of DENV-1in 2010, DENV-2 in 2013 and again DENV-1 in 2016 <CITED HERE>.	background	train
Existing applications of neural meanfield models to anesthesiainduced changes in spontaneous EEG rhythmsmostly focused on understanding the dynamical mechanisms underlying bi-phasic responses (Bojak and Liley, 2005; <CITED HERE>; Steyn-Ross et al., 1999).	background	train
In phytophagous arthropods, atranorin was reported to elicit a significant avoidance (Nimis and Skert 2006) or to reduce growth of insect larvae (Pöykkö et al. 2005; Slansky 1979) but no protective effect of atranorin was noticed in snails (<CITED HERE>; Hesbacher et al. 1995).	background	train
…has been undertaken at several locations including the Ganges delta of southern Bangladesh (Wang and Imhoff 1993), Everglades National Park (Simard et al. 2006), Madagascar (<CITED HERE>), Kakadu and Daintree National Parks in Australia, French Guiana and Malaysia (Lucas et al. 2007).	background	train
In <CITED HERE>, the authors show the bandwidth towards the L0 scratchpad memory is around L0Y times larger than the minimal (where each pixel is transferred once from the L1 to the L0 scratchpad memory).	background	train
"…Takamori et al. (2001)
Endocrine cells, diencephalon (thalamus);
presynaptic
Brainstem catecholaminergic groups
Stornetta et al. (2002a, b); PVN (<CITED HERE>); ME CRH cells, PP Wittmann et al. (2013)
Not Viable (die at birth)
Moechars et al. (2006), WallenMackenzie et al. (2006)
VGluT3…"	background	train
Following <CITED HERE> and Koo and Collins (2010), before training we transform the training set trees to be the best achievable within the model class (i.e., the closest projective tree or 1-Endpoint-Crossing tree).	method	train
A series of genes (termed exo) involved in succinoglycan biosynthesis have been cloned and sequenced <CITED HERE>.	background	train
The main distribution of 13-galactosidase-producing cells in tissues from the different lines is summarized in Table I in parallel with the evaluation of collagen VI expression products in control embryos at different locations <CITED HERE>.	background	train
…a high overlap between PSD-95 and PLCb1 signals in the cerebral cortex, thus confirming a well defined subcellular location for PLCb1, which previously could be only demonstrated by Western blot analysis of subcellular fractions (Taguchi et al., 2007) or electron microscopy (<CITED HERE>).	background	train
Neurodevelopmental outcome was assessed at 24 months using the Revised Griffith‚Äôs scales of Mental Developmen<CITED HERE>4].	method	train
The antioxidant BHT accumulates predominantly in the lung and induces alveolar epithelial damage because of its action on AEC1 (21), which is followed by the proliferation of pulmonary parenchymal cells resembling human UIP <CITED HERE>.	background	train
However, unlike Cochrane and Saa-Requejo (2000), the authors do not use a Sharpe ratio criterion to restrict the price interval for assets in incomplete markets, but a generalized version of the coherent risk measure first introduced by <CITED HERE>argue that economic agents will not only invest in any arbitrage opportunity, but also invest in any acceptable opportunity.	method	train
Stress and the subsequent activation of the HPA axis facilitate the acquisition of cocaine self-administration (Tidey and Miczek, 1997; <CITED HERE>); manipulations of the HPA axis resulting in a reduction of function through pharmacological or surgical means can attenuate the acquisition…	background	train
For example, elk may form smaller groups when exposed to wolf predation risk in relatively closed habitats (<CITED HERE>), but form larger groups in open habitats where wolf densities are higher (Gower et al. 2009).	background	train
…mechanisms of resistance to CDDP have been described, including reduced intracellular accumulation of CDDP; increased detoxification of CDDP by the thiols, glutathione and metallothionein; increased DNA-repair activity; and increased tolerance to DNA damage (Galluzzi et al. 2012; <CITED HERE>).	background	train
2000) and in skeletal muscle denervated by transection of the sciatic nerve <CITED HERE>.	background	train
Other potentially carcinogenic effects of insulin resistance stem from abnormal levels of glucose and fatty acids, which include: altered intracellular signaling, chronic inflammation resulting from production of reactive oxygen species, and enhanced proliferation of transformed colonocytes due to increased energy supply <CITED HERE>.	background	train
Recent studies have shown that the global flux distribution in oleaginous Chlorella protothecoides and Chlamydomonas reinhardtii remains stable under nitrogen limiting conditions and is controlled by the availability of carbon precursors (Xiong et al. 2010; <CITED HERE>).	background	train
…Lemos et al., 2015) at baseline, allowed for the division of the aMCI group according to an AD-alike pattern of impairment at baseline (Lemos et al., 2015), and was associated with the risk of conversion to AD in follow-up studies (Auriacombe et al., 2010; Petersen, 2007; <CITED HERE>).	result	train
While there have been remarkable developments in the last ten years <CITED HERE>, structuring large-scale visual data is still an active research area and any improvements would have wide applicability.	background	train
…2010b), jasmonic acid (JA) (Truman et al., 2007), azeleic acid (AA) (Jung et al., 2009), a CDR1-derived peptide (Xia et al., 2004), plastid glycerolipids (Nandi et al., 2004; Chaturvedi et al., 2008), G3P (Chanda et al., 2011) and an abietane diterpenoid, dehydroabietinal (<CITED HERE>).	background	train
rural, we calculated the relative prevalence of a missing value by other demographic and fitness variables using logistic regression <CITED HERE>.	method	train
Consequently, the findings of our study suggest that increased PWV noted in new onset diabetes after kidney transplantation <CITED HERE> may already, at least in part, be present before the transplantation and a result of pre-diabetes or insulin resistance in the uraemic patients awaiting a kidney transplant.	background	train
However, even when using adjusted relative risk estimates, PAF estimates can be biased if there are unaccounted confounding factors leadings to overestimation of PAF <CITED HERE>.	background	train
Other mutations in the sgl locus were identi®ed as demonstrating a cuticle phenotype similar to that of wingless (wg) mutants (HaÈ cker et al. 1997;<CITED HERE>7).	background	train
In a follow-up study using a clinical sample (<CITED HERE>), individuals with SAD similarly lacked a positive reaction time bias relative to controls without SAD but, interestingly, did not differ in their reaction time to endorse or reject negative interpretations of social sentences.	background	train
The data on avian influenza outbreaks in Vietnam from 2003 through to 2006 was provided by the Epidemiology Unit of the Department of Animal Health, Ministry of Agriculture and Rural Development of Vietnam; the characteristics of this dataset are explained elsewhere <CITED HERE>.	method	train
With regard to family fit, there is evidence that a minority of deaf couples would prefer to have deaf children and would consider using prenatal diagnosis to identify and terminate a hearing fetus (<CITED HERE>).	background	train
reported that a temporary bite change occurs in most patients the morning after removal of the appliance, and permanent occlusal changes have been observed after longterm treatment with OAs in individual cases <CITED HERE>.	background	train
This study differed from others where NE was achieved in that the birds were given liquid inoculations rather than cultures mixed with feed (<CITED HERE>; Cooper & Songer, 2010).	result	train
Prolonged imbalance of systemic hemodynamics and insufficient postprandial sympathetic activation might cause PPH (<CITED HERE>; Umehara et al. 2014; Hirayama et al. 1993; Mathias 1991).	background	train
…reflect early face processing mechanisms related to the structural encoding of faces (Bentin and Deouell, 2000; Bentin et al., 1996; Eimer, 2000a; <CITED HERE>) and has been found to be insensitive to changes in facial expression (Eimer et al., 2003; Holmes et al., 2003) or familiarity…	background	train
Our results were consistent with the findings in the literature that visual impairment is common among patients in rehabilitation facilities (Cox et al., 2005; Grue et al., 2009; <CITED HERE>; Lotery et al., 2000; Park et al., 2005; Squirrell et al., 2005; Wainapel et al., 1989).	result	train
All femurs were fractured by simulating a fall on the greater trochantor in a modified Hayes-fall configuration (<CITED HERE>).	method	val
The potential for BCL-xL to modulate other channels in the outer mitochondrial membrane is suggested by the finding that BCL-xL regulates the open state of the mitochondrial voltage-dependent anion channel (VDAC) in synthetic membranes (Degterev et al., 2001; Vander <CITED HERE>).	background	train
This is in agreement with some results where different antibiotics led to less negatively charged zeta potential in Gram-negative bacteria as a consequence of modification or complete loss of LPS and/or lipid A from the outer membrane <CITED HERE>.	result	train
Depression Assessment The Montgomery-Åsberg Depression Rating Scale (MADRS) [13] is increasingly employed in clinical research since results from earlier studies had suggested that the scale could be superior to the traditional HAMD17 with respect to sensitivity to change <CITED HERE> and other psychometric properties [16].	method	train
These results are consistent with findings that there is a selective migration of stimulated lymphocytes to specific effector sites of the mucosal immune system <CITED HERE>.	result	train
To reduce indels at off-target sites, double nicking of opposite strands by the RuvC dead mutant Cas9D10A with two gRNAs has been proposed (<CITED HERE>; Shen et al. 2014).	background	train
For example, the second version of the Microsoft Kinect (Kinect V2) is one of the most low-cost and high-speed Time-of-Flight (ToF) sensors in the market <CITED HERE>.	background	train
GFP-Pex34p, like the peroxisomal matrix protein Pot1p, localized preferentially to a 20,000 × g pellet (20KgP) fraction enriched for mature peroxisomes and some forms of immature peroxisomes (Tam et al., 2003<CITED HERE>04) (Figure 1B).	method	train
"In this study, all coated NiTi wires showed more deflection with the unloading force than the loading force, which is consistent with previously reported
results (Lim et al., ’94; Krishnan and Kumar, 2004; Elayyan et al., 2008, 2010; Alavi and Hosseini, 2012;<CITED HERE>2)."	result	train
<CITED HERE> investigated the thermal decomposition processes of 10 types of natural fibres commonly used in the polymer composite industry.	background	train
The evaluation of the impact in the accuracy of the node’s response has been performed for each supported frequency by comparing the results with our reference model programmed in Matlab which mimics the node’s architecture and is already used in [3], [4], [5] and <CITED HERE>.	result	train
Mothers with incomplete socio-demographic or labor data (n = 36), caesarean sections (n = 42) or exceptionally long labor (> 24 hours, n = 1) were excluded because labor has been reported to influence lymphocyte distribution <CITED HERE>, leaving 1,397 subjects for this study.	background	train
This conclusion is consistent with the results and conclusions of <CITED HERE> who allowed N-22 patients 3 mo to adapt to an octave shift.	result	val
…role, with local effects of dust and land surface changes having potentially intensified drought conditions during the Dust Bowl era, although the importance of these factors is still under discussion (<CITED HERE>; Broennimann et al. 2009; Cook et al. 2009; Hoerling et al. 2009).	background	train
Another clinically important feature is the length of the MBs, sometimes referred as the width (Mohlenkamp et al. 2002; Ozbag et al. 2002; <CITED HERE>).	background	train
This design captured 11,383,697 bp within the non-recombining malespecific Y-chromosome, consistent with regions genotyped by previous Y sequencing studies [41] and the Y positions placed on the phylogenetic tree by the Y Chromosome Consortium <CITED HERE>.	method	train
Straight lines on these semi-log plots are indicative of exponential distributions <CITED HERE>.	background	val
The Extended Yale B <CITED HERE> dataset contains frontal face images of 38 individuals each under 64 different illumination conditions.	method	train
2003; Maier 2003), but such capability was rarely reported for cold-adapted isolates <CITED HERE>.	background	train
<CITED HERE>, the Lineweaver-Burke equation was used to calculate the maximum deformability (EImax) and the shear stress required for one-half of this maximal deformation (SS K).	method	train
Early-fruit removal in cotton has been used to study plant recovery potential and source-sink relation (<CITED HERE>).	background	train
• Even more efficient pure TSP heuristics such as the Lin-Kernighan heuristic (LKH) <CITED HERE>, using the LKH implementation (Helsgaun, 2000, http://www.	method	train
Other forms of elevated CK signaling, such as CK application or overexpression of IPT [39, 40] or KNOTTED genes [41], were insufficient to promote tubers in tomato, probably due to inappropriate local hormonal balances or to changing ratios among CK metabolites <CITED HERE>.	background	train
Although MB morphogenesis involves Dscam variants lacking exons 19 and 23, past studies have shown that the Dscam 19 23 transgene, no matter which ectodomain it carries and whether it is fused with GFP at the C terminus or not, can effectively prevent sister branches from extending into the same axon bundle in single-cell clones of Dscam mutant neurons <CITED HERE>.	result	train
This finding is different from that in our previous analysis of the original survey data, in which AOD use was unrelated to major depression after controlling for other social and behavioural variables (<CITED HERE>).	result	train
Given that BARE-2 is a chimera between BARE-1 and WIS-2 <CITED HERE>, the likelihood is that sequences adjacent to the arrays must have undergone multiple rounds of recombination.	background	train
The 28-item Dissociative Experiences Scale–II (DES-II) measures the frequency of psychoform dissociative experiences on a 0–100 scale<CITED HERE>86; Carlson & Putnam, 1993).	background	train
Rutin (3,3′,4′,5,7-pentahydroxyflavone-3-rhamnoglucoside, Figure 2) also called sophorin, rutoside, and quercetin-3rutinoside is a polyphenolic bioflavonoid, largely extracted from natural sources such as oranges, lemons, grapes, limes, berries, and peaches <CITED HERE>.	background	train
topology: a package for performing structural analysis – the current version contains the reporter metabolites algorithm of Patil & Nielsen <CITED HERE>.	method	train
Previous work revealed that Dusp6 mutant mice exhibit increased pERK and Erm expression, skeletal dwarfism, craniosynostosis, and hearing loss <CITED HERE>.	background	train
Butanol tolerance is a complex phenotype involving multiple loci (<CITED HERE>; Papoutsakis, 2008; Winkler et al., 2010), making the engineering of strains with enhanced tolerance to this solvent difficult.	background	train
pro-hypertrophic effector mechanisms regulated by GATA4 is ANP <CITED HERE> which is in turn suppressed by sorafenib treatment.	background	train
"Among possible explanations is the contribution of sex hormones in the modulation of <CITED HERE>34
Treg-mediated local immune evasion underpins the second finding of our study, i.e. the positive association between higher FOXP3-positive T cells and the presence of VELIPI."	result	train
The most common reported mechanisms are CSF and hematogenous dissemination <CITED HERE>.	background	train
Surveys, based on The Organisational Values Questionnaire (OVQ) developed by Reino [9] and Resistance to Change Scale (RTC) developed by Oreg <CITED HERE>, were sent out to 4 hospital wards in a medical clinic in Sweden.	method	train
<CITED HERE>, have pointed out that the minsupp threshold often controls the numbers of rules generated and the training time consumed during the rule discovery and production steps.	background	train
‚Ä¶and (b) Logical Memory (LM) standard scores for immediate and delayed (30-minute delay) recall subtests from the Wechsler Memory Scale‚Äî Revised (W<CITED HERE>, 1987) with more recent normative data for the LM subtest from the Mayo‚Äôs Older Americans Normative Studies (MOANS; Ivnik et al., 1992).	method	train
Quinolinic acid (Sigma, St. Louis) was used to lesion the hippocampal formation and caudate nucleus (Schwartz et al., 1983) as described (<CITED HERE>).	method	train
, in the massive MIMO regime, the channel becomes (nearly) deterministic and the effect of smallscale fading is averaged out <CITED HERE>.	method	train
Overall, changes in pattern of species richness may disrupt marine biodiversity and ecosystems, and impact commercial fisheries (Roessig et al. 2004; Worm et al. 2006; <CITED HERE>).	background	train
In addition, a precise supracondylar osteotomy with the desired angle is a technically demanding procedure and placement of a plate requires a rather large incision <CITED HERE>.	background	train
<CITED HERE> reported improved model performance to predict the presence of prairie fish species if information on reach and catchment scale are combined.	method	train
Insulin resistance, defined as cellular unresponsiveness to the effects of insulin, results in increasingly higher levels of insulin needed to achieve normal glucose levels <CITED HERE>.	background	train
…reduced engagement of medial temporal regions during the construction of future events in depressed patients (Hach et al., 2014), which is consistent with the reduced episodic detail and vividness of mental imagery that is associated with this disorder (<CITED HERE>; King et al., 2011).	background	train
Activated PERK blocks protein synthesis by phosphorylating eIF2α <CITED HERE>, and the phosphorylation makes ATF4, a transcription factor, to translocate into the nucleus, and induce the transcription of genes needed to restore ER homeostasis (i.	background	train
Flow cytometry Flow cytometric analyses were performed on dissociated embryonic pancreatic cells from MIP-GFP mice using FACSAria II (BD <CITED HERE>) (see ESM Methods).	method	train
Synchronization is the most commonly-used method <CITED HERE>, [2], [3] to eliminate atomicity violations, which is an important class of concurrency errors [34].	method	train
To assess interobserver variability between two raters of the SYNTAX score, Cohen‚Äôs kappa statistic<CITED HERE>7] was used after tertile partitioning of their initial SYNTAX scorings.	method	train
Assigning economic values to an environmental function or ecological service has been widely debated, with researchers employing a variety of methodologies <CITED HERE>.	background	train
The improved pharmacokinetic and pharmacodynamic parameters of ixazomib compared to bortezomib have made it a focus of investigation for use in combination with other pro-apoptotic agents <CITED HERE>.	background	train
As the rate of periapical abscesses in the CH group was the same as in the induction study [<CITED HERE>exposed standard bacterial cultures to 10 root filling materials or combinations of these.	result	train
However, as previously discussed, choice of host species has been shown to greatly influence the outcome of a Salmonella infection, and several studies utilizing a variety of advanced model systems have shown that T3SSs are necessary for Salmonella invasion and infection of these models <CITED HERE>.	background	train
We reviewed the radiology reports of two subsets of patients: those undergoing CT thorax (pulmonary embolism [PE] protocol) and those undergoing cervical spine <CITED HERE>	method	train
Thus, herbivory in leaves or roots can induce whole-plant changes in allelochemistry ( Bezemer et al. , 2004; Kaplan et al. , 2008a ), resulting in indirect effects on co-occurring species ( Bezemer et al. , 2003; <CITED HERE> ; van Dam et al. , 2005 ).	background	train
We evaluate our method on two collective activity datasets from <CITED HERE> and a newly recorded dataset collected by ourselves.	method	train
…is known to be induced by Ras and repressed by p53 signaling (Li et al. 2008) and is involved in the inactivation of extrinsic as well as intrinsic apoptosis pathways, by interacting with pro-apoptotic proteins like p53, Bcl-2, Bax, Bad, PUMA, MSH2, MSH6 and others (<CITED HERE>).	background	train
Similar to <CITED HERE>, Chiang (in press) concluded that increased muscular activity due to pre-loads leads to increases in trunk muscle stiffness and spine stability.	background	train
Post-translational modification by this ubiquitinlike modifier (ULM) appears to have multifunctional effects and operates in states of tolerance to preserve homeostasis under stress (<CITED HERE>).	background	train
Binding of PP1c to scaffold proteins may modulate ion channel activity (44), while at neuronal synapses, neurabins I and II (also termed spinophilin) localize PP1c to the actin cytoskeleton at the plasma membrane <CITED HERE>.	background	train
In this study, the unstimulated flow rate was significantly higher in the asymptomatic group; 0.17, when compared with 0.11 in the symptomatic <CITED HERE>S group (P = 0.003).	result	train
5 m plastic boards and were distributed in the field to be used as GCPs for UAS-based image processing <CITED HERE>.	method	train
This last assumption was supported by the thymic model: flutamide exposure has an opposing effect in the thymus as compared with the testis (<CITED HERE>; Dulos and Bagchus, 2001).	background	train
This pattern of shifting N and P availability has been observed in a limited number of established long-term substrate age gradients (e.g. Crews et al. 1995; <CITED HERE>; Selmants and Hart 2008).	background	train
For the classical ones including DOME and <CITED HERE> rules, we used one-shot screening, while for the others, we used a sequential screening setting.	method	train
As a novel biomechanical analysis from video recordings, a Model-Based Image-Matching (MBIM) motion analysis technique has been introduced to investigate human motion from uncalibrated video sequences (<CITED HERE>).	method	train
Other studies suggest that altering affinity to FcRn might alter the bioavailability of mAbs (Deng et al., 2010; <CITED HERE>), and SC bioavailability appears lower in FcRn-deficient mice as compared to wild type animals (Wang et al., 2008).	background	train
The diagnosis of cirrhosis was made based on imaging studies and impaired liver synthetic function <CITED HERE>.	method	train
This may demonstrate retroperitoneal air as streaking opacities in the right upper quadrant and outlining the kidney margins and along the psoas muscle <CITED HERE>.	background	train
The insertion of this time delay is critical because in previous work, it has been shown to allow the development of an inhibitory relationship between the outcome and the stimulus that follows; that is, it allows S1 to predict the absence of subsequent O1 delivery and S2 to predict the absence of subsequent O2 delivery; that is, stimuli trained in such manner exhibit properties (such as retardation) identical to those display by other conditioned inhibitors <CITED HERE>.	background	train
Level 1 patients require immediate lifesaving interventions, level 2 patients are in a high-risk situation, are lethargic, confused, or have severe pain, and levels 3, 4, and 5 patients need many, 1, or no resources, respectively.<CITED HERE> All adult (ie, 18 years of age) nontrauma patients were eligible for inclusion to the study, if they had an ESI score of 2 or 3 and vital signs within the normal range and presented in 1 of the 2 EDs between May 24, 2007, and February 8, 2011.	background	val
The high numbers of all three species found in MT confirm the importance of this large, lowland forest block for primate conservation and further support the proposal to restore the Mngeta conservation corridor between US and Iyondo forest, a lowland to montane forest that is contiguous with MT <CITED HERE> and is currently under gazettement as forest reserve (N.	background	val
Current evidence also indicates that shear stress activates two MAP kinases by distinct signaling pathways: activation of ERK is mediated by mechanisms involving Gai-2, protein kinases [Src, focal adhesion kinase (FAK), and protein kinase C-e], and Ras, whereas JNK activation requires Gb/g, phosphatidylinositol 3-kinase-g, tyrosine kinases (Src and FAK), and Ras <CITED HERE>.	background	train
…to perform a time calibrated phylogenetic analysis, using three node constraints derived from Santos et al. (2009) in the software Beast 1.7 (<CITED HERE>): (1) the divergence between Dendrobates truncatus and Dendrobates auratus was constrained with an uniform prior with an…	method	train
Dense Trajectory features are formed by the sequence of displacement vectors in an optical flow field, together with the HoG-HoF descriptor (Laptev et al, 2008) and the motion boundary histogram (MBH) descriptor (<CITED HERE>) computed over a local neighbourhood along the trajectory.	method	train
…by the release of SPEs and other antigens, which function as superantigens (Proft et al., 2003; Marrack and Kappler, 1990; Talkington et al., 1993; Baxter and McChesney, 2000; <CITED HERE>; Darenberg et al., 2004; Norrby-Teglund et al., 2005; Zurawski et al., 1998; Ekelund et al., 2005).	background	train
…negative correlation, such that more positive mean PBR occurred concurrently with a more negative mean NBR, is in agreement with previous studies (<CITED HERE>; Shmuel et al., 2002), suggesting that the magnitude of ipsilateral inhibition increases with the magnitude of increasing…	result	train
Mouse IgG 30 lg/ml final concentration was added as control (Schmid et al., 2000; <CITED HERE>; Yeaney et al., 2009).	method	train
"…neighbor matrices, PCNM) as predictors in our analyses as these are suggested to produce inflated R2-statistics apparently due to over-fitting (i.e. selection of too many axes,
which may overemphasise the spatial component in the data) even when forward selection is used (<CITED HERE>)."	method	train
c-IAP2, which has been functionally implicated in the inhibition of TNF-mediated death, is transcriptionally regulated by NF-kB <CITED HERE>.	background	train
In mitochondria LDH and glycerol-3-phosphate dehydrogenase do not donate electrons to the respiratory chain, yet in bacteria they are membrane-bound enzymes transferring their electrons directly to ubiquinol <CITED HERE>.	background	train
It is also interesting to note that the proportion of frozenthawed primordial follicles (36%) found after 28 weeks of grafting is comparable to that (41%) found after 3 weeks of grafting <CITED HERE>.	result	train
The results observed in the study carried out by Hallal et al. (2006), which analyzed 4452 Brazilian adolescents, are in accordance with the analyses of <CITED HERE>.	result	train
Since the first ON1 location in Ontario <CITED HERE>, geographical dispersion has been reported worldwide [Choudhary et al.	background	val
We concentrate here on the computational issues, extending the Static Sensor Field model (SSSF) <CITED HERE>, to scenarios in which dynamicity is of relevance.	background	val
To alleviate this, wireless-powered strategy is proposed by making use of radiofrequency (RF) signals emitted from other communication nodes to provide stable energy supply for relay nodes <CITED HERE>.	method	train
The explanation for such finding is not clear, since the pellet dissolves within the proventriculus (<CITED HERE>), and thus it was not expected that physical form of the diet would have any effect in this portion of the gastrintestinal tract.	background	train
This implies that about 40% of the study population living in the North would  benefit  from  increasing  the duration  of  solar  exposure  as presented previously  <CITED HERE>.	background	train
Although they mimic many phorbol ester effects, including inhibition of cell-cell communication (25, 26), they have been reported not to induce differentiation of HL-60 cells (27) or to inhibit maturation of granulosa cells <CITED HERE>.	background	train
The observed levels of heavy metal variation in soil samples could be attributed to the varying amount of metals in the irrigation water as well as other agronomic practices of the respective areas (<CITED HERE>).	background	train
